c;c;o;c;s;f;s;g;n;o;u;o;u;c;o;
Premier League;Manchester City;Watford;1,02;G;19;S;2,5;1,5;1,11;6,5;1,36;3,2;5;1;
Nazionali;Giappone;Vietnam;1,02;G;19;S;2,75;1,4;1,16;5;1,57;2,35;1;1;
Eredivisie;Psv;Sittard;1,03;S;15;G;1,95;1,8;1,07;9;1,28;3,6;5;0;
Ligue 1;Paris SG;Bordeaux;1,04;G;13;S;1,8;1,95;1,06;10;1,22;4,33;3;0;
Ligue 1;Paris SG;ST Etienne;1,04;G;13;S;2;1,75;1,1;7;1,33;3,4;3;1;
Eredivisie;Graafschap;Dordrecht;1,04;G;13;S;2;1,72;1,11;6,5;1,4;2,87;2;2;
Liga Portugal;FC Porto;Santa Clara;1,04;G;13;S;2,2;1,61;1,14;5,5;1,53;2,4;3;0;
Nazionali;Portogallo;Macedonia Del Nord;1,04;G;13;S;2,37;1,53;1,14;5,5;1,5;2,5;2;0;
Nazionali;Colombia;Bolivia;1,04;ND;13;ND;1,95;1,8;1,08;8;1,3;3,5;3;0;
Premier League;Liverpool;Watford;1,04;S;13;G;2,1;1,66;1,12;6;1,36;3,2;2;0;
Premier League;Liverpool;Leicester;1,05;G;11;S;1,95;1,8;1,11;6,5;1,36;3,2;2;0;
Bundesliga;Hoffenheim;Furth;1,05;G;11;S;1,95;1,8;1,1;7;1,36;3,2;0;0;
Nazionali;Argentina;Venezuela;1,05;G;11;S;2,25;1,57;1,16;5;1,57;2,35;3;0;
Serie A;Juventus;Salernitana;1,05;G;11;S;2,37;1,53;1,2;4,5;1,57;2,37;2;0;
Premier League;Liverpool;Everton;1,05;ND;11;ND;2;1,75;1,14;5,5;1,44;2,75;2;0;
Jupiler League;Royale Union SG;Oostende;1,06;G;10;S;2,2;1,61;1,2;4,33;1,61;2,25;1;1;
Premier League;Liverpool;Leeds;1,06;S;10;G;1,7;2,05;1,07;9;1,28;3,75;6;0;
Premier League;Manchester City;Brighton;1,06;S;10;G;2,2;1,61;1,16;5;1,57;2,37;3;0;
Nazionali;Italia;Macedonia Del Nord;1,06;ND;10;ND;2,5;1,5;1,22;4;1,7;2,1;0;1;
Eredivisie;Den Haag;Maastricht;1,07;G;9;S;1,83;1,83;1,11;6,5;1,4;2,87;2;3;
Bundesliga;Francoforte;Furth;1,07;G;9;S;2;1,75;1,16;5;1,57;2,37;0;0;
Ligue 1;Rennes;Metz;1,07;G;9;S;2,2;1,61;1,22;4,33;1,66;2,2;6;1;
Nazionali;Brasile;Cile;1,07;G;9;S;2,37;1,53;1,28;3,5;1,9;1,95;4;0;
Champions League;Manchester City;Atl Madrid;1,07;G;9;S;2,5;1,5;1,28;3,75;1,92;1,98;1;0;
Champions League;Bayern;Villarreal;1,08;G;8;S;1,7;2,05;1,11;6,5;1,33;3,4;1;1;
Coppa Colombia;America DE Cali;U Magdalena;1,08;G;8;S;2,5;1,5;1,33;3,25;2,05;1,75;1;2;
Serie A;Atalanta;Cagliari;1,08;S;8;G;2;1,75;1,14;5,5;1,5;2,62;1;2;
Champions League;Liverpool;Villarreal;1,08;S;8;G;2,1;1,66;1,16;5;1,57;2,37;2;0;
2 Bundesliga;Leverkusen;Stoccarda;1,1;G;7;S;1,75;2;1,14;5,5;1,44;2,75;4;2;
Coppa Italia;Juventus;Sassuolo;1,1;G;7;S;1,8;1,95;1,14;5,5;1,44;2,7;2;1;
Laliga;Barcellona;Vallecano;1,1;G;7;S;1,8;1,95;1,16;5;1,5;2,62;0;1;
Liga Portugal;Benfica;Estoril;1,1;G;7;S;1,9;1,9;1,16;5;1,57;2,35;2;1;
Nazionali;Portogallo;Turchia;1,1;G;7;S;2;1,75;1,16;5;1,53;2,4;3;1;
